,identifier,start,end,description
0,0,1268,1536,"('transfer',)"
1,0,1914,2208,"('pouring',)"
2,0,2695,3556,"('pipetting',)"
3,0,4321,5089,"('mixing',)"
4,0,5281,5656,"('mixing',)"
5,0,8614,8809,"('pouring',)"
6,0,10251,10315,"('cutting',)"
7,0,10389,10451,"('cutting',)"
8,0,11963,12031,"('cutting',)"
9,0,12230,12444,"('cutting',)"
10,0,12488,12737,"('cutting',)"
11,0,13938,14816,"('pipetting',)"
12,0,14855,14988,"('mixing',)"
13,0,15302,15869,"('mixing',)"
14,0,16266,16456,"('transfer',)"
15,0,16893,16996,"('pouring',)"
16,0,20733,21314,"('mixing',)"
17,0,21316,23473,"('pipetting',)"
18,0,23869,24666,"('mixing',)"
19,0,25511,25604,"('pouring',)"
20,0,26193,26307,"('cutting',)"
21,0,26317,26585,"('cutting',)"
22,0,26620,26733,"('cutting',)"
23,0,26967,27019,"('cutting',)"
24,0,27108,27560,"('cutting',)"
25,0,27624,28006,"('cutting',)"
26,0,28039,28318,"('cutting',)"
27,0,29191,29713,"('mixing',)"
28,0,29741,30388,"('pipetting',)"
